Cod_IBGE,Número Licitação,Código UG,Nome UG,Código Modalidade Compra,Modalidade Compra,Número Processo,Objeto,Situação Licitação,Código Órgão Superior,Nome Órgão Superior,Código Órgão,Nome Órgão,UF,Município,Data Resultado Compra,Data Abertura,Valor Licitação
2800308.0,882023,155017,HOSPITAL UNIVERSITARIO DA UFS,9999,Pregão - Registro de Preço,23530000000000000,"Objeto: Pregão Eletrônico - Este Termo de Referência tem por objeto o Registro de Preços para eventual Aquisição de Material Médico Hospitalar - IMPLANTES (PRÓTESES) E EXPANSORES MAMÁRIOS, a fim de atender as necessidades do Hospital Universitário de Sergipe, vinculado à Universidade Federal de Sergipe, pertencente à Rede da Empresa Brasileira de Serviços Hospitalares  Ebserh, por um período de 12 meses, conforme especificações e demais condições estabelecidas neste instrumento.",Evento de Resultado de Julgame,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,SE,ARACAJU,2024-01-09,2023-12-14,0.0
5103403.0,882023,155019,HOSPITAL UNIVERSITARIO JULIO MULLER,9999,Pregão - Registro de Preço,23532000000000000,"Objeto: Pregão Eletrônico - Registro de Preços para eventual aquisição de materiais de Insumos para uso em equipamento Sterrad 100S e 100NX a fim de atender as necessidades do Hospital Universitário Júlio Müller (HUJM), vinculado à Universidade Federal de Mato Grosso (UFMT), pertencente à Rede da Empresa Brasileira de Serviços Hospitalares  Ebserh, por um período de 12 (doze) meses.",Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,MT,CUIABA,2024-01-05,2023-11-21,0.0
3136702.0,882023,155903,HOSPITAL UNIVERSITARIO DA UFJF,9999,Pregão - Registro de Preço,23765000000000000,"Objeto: Pregão Eletrônico - Registro de preços para futura e eventual aquisição de Equipamento Médico Hospitalar do tipo Módulo Hemodinâmico com intuito de atender à demanda do Hospital Universitário da Universidade Federal de Juiz de Fora (HU-UFJF), unidade hospitalar da Empresa Brasileira de Serviços Hospitalares (Ebserh), conforme quantidades, exigências e estimativas, estabelecidas neste instrumento e seus encartes.",Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,MG,JUIZ DE FORA,2024-01-10,2023-11-22,0.0
3301009.0,882023,158139,"INST.FED.DE EDUC.,CIENC.E TEC.FLUMINENSE",5,Pregão,23319001667,Objeto: Pregão Eletrônico - Aquisição de Fresadora para atender às demandas do Campus Guarus do Instituto Federal Fluminense,Publicado,26000,Ministério da Educação,26434,Instituto Federal Fluminense,RJ,CAMPOS DOS GOYTACAZES,2024-01-08,2023-12-21,0.0
3304557.0,882023,179083,CASA DA MOEDA DO BRASIL,9999,Pregão - Registro de Preço,108341/2022,Objeto: Pregão Eletrônico - Aquisição de Equipamento de proteção individual,Divulgado,25000,Ministério da Fazenda,25211,Casa da Moeda do Brasil,RJ,RIO DE JANEIRO,2024-01-20,2023-10-24,0.0
5300108.0,882023,195006,CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA,9999,Pregão - Registro de Preço,5950000255620230,"Objeto: Pregão Eletrônico - Execução de pontes com cabeceiras modulares em concreto armado e transposição mista, em municípios diversos localizados no estado do Amapá/AP.",Evento de Resultado de Julgame,53000,Ministério da Integração e do Desenvolvime,22203,Companhia de Desenvolvimento dos Vales do Sã,DF,BRASILIA,2024-01-04,2023-12-15,21266037.6
3304557.0,892019,741000,ARSENAL DE MARINHA_DO RIO DE JANEIRO,6,Dispensa de Licitação,C-2-20082/2019,Objeto: Aquisição de Tiras de Glicemia,Encerrado,52000,Ministério da Defesa,52131,Comando da Marinha,RJ,RIO DE JANEIRO,2024-01-22,2019-09-16,1650.0
3304557.0,892020,741000,ARSENAL DE MARINHA_DO RIO DE JANEIRO,6,Dispensa de Licitação,C-5-50084/2020,"Objeto: Aquisição de materiais para os Laboratórios de Refrigeração - Itens 9, 10, 11 e 29 da TR 008/2020",Encerrado,52000,Ministério da Defesa,52131,Comando da Marinha,RJ,RIO DE JANEIRO,2024-01-22,2020-11-16,3538.8
2304400.0,892023,135048,EMBRAPA/CNPAT,6,Dispensa de Licitação,21153000000000000,Objeto: Serviço de manutenção em Liofilizador marca Liobrás,Encerrado,22000,Ministério da Agricultura e Pecuária,22202,Empresa Brasileira de Pesquisa Agropecuária,CE,FORTALEZA,2024-01-04,,20198.32
3303302.0,892023,150182,PRO-REITORIA DE ADMINISTRACAO/UFF,5,Pregão,23069200000000000,"Objeto: Pregão Eletrônico - Permissão de Uso de espaço físico em caráter precário para exploração comercial de lanchonete junto aos Prédios Blocos B, C e E do Campus Gragoatá, imóveis sito à Rua Professor Marcos Waldemar de Freitas Reis, Gragoatá, Niterói, RJ",Evento de Resultado de Julgame,26000,Ministério da Educação,26236,Universidade Federal Fluminense,RJ,NITEROI,2024-01-12,2023-12-21,220.32
3136702.0,892023,155903,HOSPITAL UNIVERSITARIO DA UFJF,5,Pregão,23765000000000000,"Objeto: Pregão Eletrônico - Licitação Eletrônica  Pregão Tradicional, para o fornecimento continuado de Insumos para Unitarizadora, a fim de abastecer o Hospital Universitário da UFJF  Filial Ebserh",Publicado,26000,Ministério da Educação,26443,Empresa Brasileira de Serviços Hospitalares,MG,JUIZ DE FORA,2024-01-31,2023-12-01,67538.48
3143302.0,892023,195005,CIA DE DES.DOS VALES DO S.FRANC.E DO PARNAIBA,9999,Pregão - Registro de Preço,59510000000000000,"Objeto: Pregão Eletrônico - Constituição de Sistema de Registro de Preços - SRP para o fornecimento, transporte, carga e descarga de rolos compactadores destinados ao atendimento de diversos municípios e comunidades rurais, no âmbito da área de atuação da 1ª Superintendência Regional da Codevasf, no estado de Minas Gerais",Evento de Resultado de Julgame,53000,Ministério da Integração e do Desenvolvime,22203,Companhia de Desenvolvimento dos Vales do Sã,MG,MONTES CLAROS,2024-01-30,2023-12-19,517700.0
3550308.0,892023,742050,CENTRO DE INTENDENCIA TECNOLOGICO DA MARINHA,9999,Pregão - Registro de Preço,63232000000000000,Objeto: Pregão Eletrônico - Aquisição de Equipamentos e Acessórios para Oficina de Manutenção e Reparo - LABGENE,Publicado,52000,Ministério da Defesa,52131,Comando da Marinha,SP,SAO PAULO,2024-01-19,2023-12-14,21999.98
